Generation,Selected,Tie,MinFailed,MinEmpty,Minimized,SameMin,Archived,Time,ReadabilityScores,Goal,,,,,,,,
611,4,true,0,0,2,false,2,0,,Weak,Mutation,193:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:179,-,ReplaceArithmeticOperator,/,->,*
611,4,true,0,0,1,true,0,0,,Weak,Mutation,183:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:179,-,ReplaceArithmeticOperator,*,->,%
611,4,true,0,0,1,true,0,0,,Weak,Mutation,185:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:179,-,ReplaceArithmeticOperator,*,->,/
611,4,true,0,0,2,false,2,0,,Weak,Mutation,207:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,ReplaceComparisonOperator,>=,->,-1
611,4,true,0,0,1,true,0,0,,Weak,Mutation,199:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,ReplaceVariable,newcap,->,mincap
611,4,true,0,0,2,false,2,0,,Weak,Mutation,203:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,ReplaceVariable,mincap,->,newcap
611,4,true,0,0,2,false,2,0,,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:,I33,Branch,4,IF_ICMPGE,L181,-,false,
611,4,true,0,0,3,false,3,0,,Weak,Mutation,272:,com.org.apache.commons.collections.primitives.ArrayIntList.checkRangeIncludingEndpoint(I)V:208,-,ReplaceComparisonOperator,<=,->,-1
611,4,true,0,0,2,false,2,0,,com.org.apache.commons.collections.primitives.ArrayIntList.checkRangeIncludingEndpoint(I)V:,I7,Branch,9,IF_ICMPLE,L208,-,false,
611,4,true,0,0,3,false,3,0,,Weak,Mutation,264:,com.org.apache.commons.collections.primitives.ArrayIntList.checkRangeIncludingEndpoint(I)V:208,-,ReplaceComparisonOperator,<,->,!=
611,4,true,0,0,2,false,0,113,8-7,Weak,Mutation,109:,com.org.apache.commons.collections.primitives.ArrayIntList.set(II)I:148,-,InsertUnaryOp,IINC,-1,oldval
