G0,G1
4.9655172413793105,5.6
4.333333333333333,9.166666666666666
5.2,7.0
5.111111111111111,3.0
6.0,8.5
5.241379310344827,3.6
5.5,6.222222222222222
5.0344827586206895,6.4
4.137931034482759,3.0
4.612903225806452,4.75
5.96,7.0
4.625,5.714285714285714
5.310344827586207,5.4375
6.32,7.125
5.08,4.428571428571429
4.703703703703703,7.5
5.035714285714286,5.0
7.0,2.4
4.032258064516129,5.888888888888889
7.12,2.857142857142857
3.466666666666667,6.733333333333333
4.68,7.25
6.653846153846154,6.777777777777778
7.523809523809524,5.6
4.62962962962963,6.214285714285714
5.75,8.6
6.275862068965517,8.166666666666666
4.4,6.0
4.576923076923077,5.083333333333333
5.0,5.6
