G0,G1
5.2125,6.269230769230769
5.614678899082569,6.666666666666667
6.088235294117647,6.931034482758621
6.708333333333333,5.0
5.726315789473684,6.828571428571428
5.325842696629214,6.416666666666667
5.28169014084507,6.928571428571429
5.382352941176471,6.804878048780488
5.864864864864865,7.5
6.403846153846154,7.2727272727272725
5.351648351648351,7.628571428571429
6.019607843137255,7.222222222222222
5.7207207207207205,7.225806451612903
5.920792079207921,7.0
5.705882352941177,7.186440677966102
5.245098039215686,7.076923076923077
5.91358024691358,7.2745098039215685
5.732558139534884,7.586956521739131
5.926315789473684,6.444444444444445
6.147058823529412,7.074074074074074
6.0,7.609756097560975
5.91,7.212121212121212
5.388888888888889,8.027027027027026
6.8053097345132745,7.7272727272727275
5.604938271604938,6.909090909090909
5.148648648648648,7.46969696969697
6.177570093457944,7.65625
6.134615384615385,7.0
5.968085106382978,7.071428571428571
5.862385321100917,7.217391304347826
