G0,G1
366.0821917808219,523.25
376.9642857142857,546.0
381.3,549.25
377.9764705882353,542.0
377.2098765432099,485.77777777777777
399.8970588235294,564.3333333333334
376.9125,521.6363636363636
384.77777777777777,536.5
410.3764705882353,551.5
388.1807228915663,530.4
373.0735294117647,468.2307692307692
388.82608695652175,488.2142857142857
382.7088607594937,509.45454545454544
366.48809523809524,578.1428571428571
376.9024390243902,514.7272727272727
391.36842105263156,477.38461538461536
381.9390243902439,503.4
359.47297297297297,541.5454545454545
379.7027027027027,528.8333333333334
387.3,556.5
380.4935064935065,548.0
389.2048192771084,486.6666666666667
384.2962962962963,501.0
413.80232558139534,457.4
370.7011494252874,509.9166666666667
377.5061728395062,439.6666666666667
401.3170731707317,536.7777777777778
392.9736842105263,562.2
389.5189873417722,508.1111111111111
379.4512195121951,481.0
