G0,G1
2.8461538461538463,4.0
2.9622641509433962,4.421052631578948
2.9166666666666665,4.875
2.8076923076923075,3.7777777777777777
3.0377358490566038,3.423076923076923
3.1481481481481484,3.35
3.267857142857143,2.5714285714285716
3.517857142857143,4.24
3.183673469387755,4.3076923076923075
3.7719298245614037,4.434782608695652
3.6226415094339623,3.1538461538461537
3.1228070175438596,2.5789473684210527
3.4166666666666665,3.25
3.087719298245614,2.8421052631578947
2.8979591836734695,4.5
3.452830188679245,3.526315789473684
3.673076923076923,3.5789473684210527
3.3653846153846154,3.45
3.0,4.4
2.909090909090909,4.764705882352941
3.106382978723404,4.208333333333333
3.2549019607843137,3.2758620689655173
3.3,4.588235294117647
3.2777777777777777,4.333333333333333
3.392156862745098,4.0
3.16,3.772727272727273
3.019230769230769,3.0833333333333335
3.55,3.95
2.784313725490196,3.6538461538461537
2.849056603773585,3.423076923076923
