G0,G1
434.73333333333335,694.5252525252525
375.2,697.7327586206897
653.5555555555555,746.9247311827957
361.22222222222223,592.5153846153846
378.3478260869565,678.6875
520.1428571428571,608.8019801980198
401.90909090909093,740.2831858407079
466.3225806451613,636.6666666666666
564.4444444444445,600.7373737373738
459.52,751.9915254237288
471.9583333333333,685.5283018867924
396.6363636363636,690.4324324324324
437.3333333333333,629.1865671641791
462.92857142857144,758.8235294117648
377.94736842105266,615.21875
629.0869565217391,669.0322580645161
576.6818181818181,715.4636363636364
392.25,662.1875
416.8421052631579,665.1904761904761
633.6428571428571,762.8207547169811
491.36842105263156,623.6981132075472
318.4,623.4695652173913
336.93333333333334,596.0934579439253
456.3478260869565,720.8333333333334
504.3888888888889,703.1034482758621
449.6296296296296,589.392523364486
466.93333333333334,715.64
465.10714285714283,628.1284403669724
495.05263157894734,753.4806201550388
424.6875,673.3595505617977
