G0,G1
227.8181818181818,319.82758620689657
260.05555555555554,384.92857142857144
287.7368421052632,347.2307692307692
256.5,371.1764705882353
239.54545454545453,373.8333333333333
203.63636363636363,347.29411764705884
194.36363636363637,352.04
213.07692307692307,398.6470588235294
218.45454545454547,375.1111111111111
248.72727272727272,371.3125
261.125,343.1666666666667
251.53846153846155,347.3181818181818
257.5882352941176,347.55555555555554
233.8235294117647,404.1666666666667
303.05263157894734,293.8666666666667
204.8,396.25
240.8181818181818,333.52
287.9375,315.47058823529414
209.5,365.6666666666667
257.2307692307692,329.0
266.0,307.17241379310343
240.47619047619048,418.55555555555554
198.77777777777777,335.125
258.61538461538464,366.4375
245.1818181818182,360.65
182.21428571428572,399.3333333333333
266.61538461538464,348.625
227.0,295.97222222222223
223.875,349.3809523809524
220.53333333333333,329.4
