G0,G1
118.48076923076923,125.63157894736842
105.84905660377359,187.26315789473685
106.45,138.5
102.13461538461539,121.22222222222223
114.49056603773585,111.11538461538461
111.72222222222223,107.25
115.07142857142857,149.5
120.03571428571429,157.96
111.48979591836735,131.57692307692307
122.08771929824562,133.82608695652175
125.54716981132076,108.73076923076923
109.89473684210526,98.52631578947368
127.71666666666667,107.125
127.50877192982456,101.57894736842105
105.0,169.03846153846155
116.45283018867924,115.3157894736842
126.13461538461539,114.84210526315789
147.90384615384616,117.8
110.0,136.24
118.72727272727273,143.11764705882354
109.04255319148936,156.125
117.23529411764706,104.75862068965517
125.9,136.52941176470588
131.5,126.5
116.23529411764706,129.8235294117647
109.9,267.8636363636364
106.21153846153847,134.95833333333334
119.18333333333334,129.55
107.49019607843137,148.19230769230768
109.52830188679245,111.34615384615384
