G0,G1
116.42857142857143,253.85714285714286
143.71428571428572,178.5
89.1,193.14285714285714
134.0,278.6666666666667
129.85714285714286,215.5
131.23529411764707,250.0
139.2941176470588,349.3333333333333
147.625,204.5
114.2,99.75
143.71428571428572,178.5
89.1,193.14285714285714
120.0,139.2
127.0625,153.2
129.85714285714286,215.5
139.23529411764707,273.5
120.15384615384616,165.5
156.07692307692307,161.4
111.07142857142857,216.0
92.81818181818181,310.0
115.23076923076923,294.6
88.5,247.5
130.92857142857142,145.2
135.13333333333333,149.6
146.21052631578948,278.0
138.35294117647058,272.0
128.94444444444446,58.0
127.5625,212.66666666666666
