G0,G1
5.685714285714286,5.083333333333333
5.733333333333333,5.7272727272727275
5.3,6.875
5.5,5.0
5.615384615384615,6.25
5.466666666666667,5.0
5.451612903225806,5.153846153846154
6.333333333333333,6.125
5.194444444444445,4.833333333333333
5.923076923076923,5.2
5.633333333333334,6.1
5.078947368421052,5.125
5.166666666666667,5.4
5.363636363636363,5.181818181818182
5.162162162162162,5.466666666666667
5.625,5.285714285714286
4.923076923076923,5.166666666666667
5.125,5.3076923076923075
5.2727272727272725,5.25
5.051282051282051,4.8
5.925925925925926,5.333333333333333
6.552631578947368,5.6923076923076925
5.9655172413793105,5.0
4.84375,4.8
5.891891891891892,5.0
4.606060606060606,5.25
5.057142857142857,4.625
5.4411764705882355,5.214285714285714
5.482758620689655,5.428571428571429
4.774193548387097,4.785714285714286
