G0,G1
185.5185185185185,219.625
198.13333333333333,227.5
190.54285714285714,241.875
206.89473684210526,249.125
195.625,228.66666666666666
197.30555555555554,237.2
198.375,237.66666666666666
205.84,268.6666666666667
207.0731707317073,261.0
187.97435897435898,235.0
183.47222222222223,227.0
196.19565217391303,222.83333333333334
199.51282051282053,243.75
193.1891891891892,241.88888888888889
186.85,228.5
181.3939393939394,230.4
182.94444444444446,223.0
195.11111111111111,211.3
204.1891891891892,244.2
198.39473684210526,253.33333333333334
194.61363636363637,229.25
215.4318181818182,238.0
195.6315789473684,233.75
193.3235294117647,208.0
199.64705882352942,229.42857142857142
193.02325581395348,249.16666666666666
192.27777777777777,213.16666666666666
204.1891891891892,244.2
