G0,G1
188.275,262.13461538461536
201.86238532110093,303.9166666666667
246.88235294117646,260.44827586206895
270.7,207.66666666666666
212.1578947368421,246.4857142857143
194.5505617977528,230.11111111111111
169.94366197183098,303.85714285714283
188.40196078431373,247.97560975609755
223.94594594594594,333.14285714285717
239.17307692307693,308.72727272727275
210.52747252747253,291.57142857142856
237.04901960784315,275.4074074074074
229.88288288288288,243.09677419354838
227.54455445544554,235.5
199.03529411764706,304.6101694915254
205.97058823529412,288.1923076923077
194.54320987654322,366.29411764705884
196.53488372093022,321.1304347826087
205.96842105263158,276.74074074074076
225.59803921568627,222.07407407407408
224.31034482758622,277.0
230.25,265.54545454545456
221.27777777777777,306.56756756756755
278.8407079646018,286.8636363636364
213.77777777777777,225.8181818181818
187.4189189189189,283.56060606060606
263.4392523364486,256.03125
240.21153846153845,212.67857142857142
223.30851063829786,242.75
215.70642201834863,325.5217391304348
