G0,G1
206.8,194.16666666666666
203.66666666666666,220.0909090909091
190.675,252.75
191.44117647058823,175.83333333333334
186.51282051282053,208.0
199.66666666666666,180.14285714285714
196.03225806451613,178.23076923076923
234.94871794871796,265.25
197.47222222222223,163.5
223.05128205128204,190.2
197.3,237.6
176.1578947368421,181.5625
188.19444444444446,201.2
191.8181818181818,221.0909090909091
182.35135135135135,185.2
200.46875,194.35714285714286
173.03846153846155,182.83333333333334
177.0,180.6153846153846
191.36363636363637,217.375
178.35897435897436,199.0
201.07407407407408,183.22222222222223
246.73684210526315,235.30769230769232
222.20689655172413,199.05555555555554
174.8125,164.33333333333334
202.27027027027026,181.0
167.54545454545453,193.375
176.88571428571427,165.25
187.8235294117647,191.64285714285714
195.17241379310346,199.07142857142858
187.58064516129033,184.71428571428572
