G0,G1
308.5882352941176,460.8125
253.47368421052633,480.0
238.3,426.46666666666664
300.24,414.55555555555554
286.57894736842104,424.0769230769231
147.44444444444446,420.36
292.92,406.7692307692308
303.04545454545456,419.1111111111111
305.5,425.1111111111111
251.26315789473685,412.7647058823529
246.27777777777777,418.3333333333333
214.58823529411765,416.0
273.1578947368421,415.44444444444446
292.39130434782606,469.42857142857144
213.53333333333333,401.5625
199.07142857142858,396.6
282.125,406.1
274.85185185185185,436.54545454545456
257.0,426.47058823529414
263.77272727272725,418.8
178.83333333333334,416.9130434782609
269.0,421.77777777777777
263.10526315789474,423.1
266.1666666666667,414.6923076923077
168.92857142857142,411.54545454545456
147.72727272727272,407.8
242.44444444444446,411.4117647058824
292.7692307692308,441.1818181818182
239.55,397.875
200.0,417.6521739130435
