G0,G1
4.37037037037037,4.875
4.777777777777778,5.0
4.685714285714286,5.125
4.684210526315789,5.25
4.625,5.0
4.416666666666667,5.2
4.4,5.333333333333333
4.74,6.0
4.512195121951219,5.25
4.461538461538462,5.0
4.305555555555555,4.666666666666667
4.695652173913044,5.0
4.589743589743589,5.125
4.378378378378378,5.222222222222222
4.35,5.0
4.333333333333333,5.0
4.416666666666667,4.888888888888889
4.777777777777778,4.5
4.5675675675675675,4.8
4.473684210526316,5.666666666666667
4.386363636363637,5.0
5.0227272727272725,5.0
4.605263157894737,5.25
4.382352941176471,4.428571428571429
4.5588235294117645,4.857142857142857
4.488372093023256,5.166666666666667
4.333333333333333,4.666666666666667
4.5675675675675675,4.8
