G0,G1
217.3793103448276,265.8
189.76666666666668,372.0
252.56666666666666,367.3333333333333
239.1851851851852,249.0
284.6551724137931,352.5
252.55172413793105,252.8
227.57142857142858,307.0
218.93103448275863,283.2
194.6206896551724,250.66666666666666
233.80645161290323,316.3333333333333
276.04,289.57142857142856
203.66666666666666,262.85714285714283
256.86206896551727,267.4375
266.36,313.75
232.88,237.71428571428572
242.0,347.75
225.96428571428572,262.8125
300.7931034482759,161.6
196.19354838709677,276.6666666666667
281.72,214.28571428571428
183.13333333333333,322.6
195.76,356.25
276.2307692307692,280.44444444444446
318.04761904761904,250.1
203.0,316.92857142857144
249.34375,346.6
292.44827586206895,326.8333333333333
196.66666666666666,323.6666666666667
202.65384615384616,265.9166666666667
218.6153846153846,248.3
